,match,team,alliance,leave,"ground pick-up","center line pick-up","auto scoring","teleop scoring","stage level",spotlight,"stage time","brick time","defense time","driver skill","defense skill",speed,stability,"intake consistency",scouter,comments,accuracy,timestamp
0,1,4597,red,true,true,false,"[]","[sm, sm]",1,false,0,0,0,1,1,1,1,2,"crescendohawk24 (4641)","",,1711121738480
1,1,7506,red,false,false,false,"[]","[sm]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24  (4641)","They were extremely lost\n\nFrom what I could see their driving isn't very good\n\nWhen at speaker they would do what looked like to be an amp scoring\n\nTried to score in amp note never left the bot\n\nNote fell out of bot when attempting to shoot because they did amp movements ",,1711121831412
2,1,9506,red,false,false,false,"[sm]","[ss, sm, ss, sm, ss]",0,false,0,0,0,2,1,2,1,3,"cresendohawk24 (4641)","",,1711121793984
3,1,4641,blue,true,true,false,"[ss, sm, sm]","[ss, am, ss, ss, sm, ss, ss]",2,false,0,0,0,3,0,2,2,4,"crescendohawk24 (4641)","",,1711121737704
4,1,5212,blue,true,true,false,"[]","[as, as]",0,false,0,2000,0,0,0,0,0,0,"crescendohawk24 (4641)","The information might not be corect as i could not see anything",,1711121795072
5,1,9140,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","Robot made no movement for the entire round.",,1711122812421
6,2,1296,red,true,true,false,"[sm, ss, ss, sm]","[as, as, as, sa, as, ss]",0,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","It’s 4 node auto still worked after missing a node and took awhile for its amp so it collect node then does amp ",,1711122725350
7,2,4332,red,false,false,false,"[]","[]",1,false,0,0,0,1,1,0,1,0,"crescendohawk24  (4641)","Bot was slow and defense looked alright",,1711122698991
8,2,7091,red,false,false,false,"[]","[]",0,false,0,128750,0,0,0,0,0,0,"crescendohawk24 (4641)","Did nothing ",,1711122650621
9,2,8598,blue,false,false,false,"[]","[ss, ss, as]",2,false,0,0,0,3,0,3,0,2,"crescendohawk24 (4641)","No movement during autonomous; made it on stage.",,1711122752087
10,2,8732,blue,true,true,true,"[sm]","[sm, sm, sm, sm, ss, ss, ss, ss]",0,true,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","Their auto is really good but they are bad at aiming",,1711122712074
11,2,8874,blue,false,false,false,"[]","[sm, as, as]",1,false,0,8350,20000,0,0,0,2,2,"crescendohawk24 (4641)","",,1711122699603
12,3,5431,red,true,false,false,"[ss]","[ss, ss, ss, ss, ss, ss, ss, ss, ss, ss, sm, ss]",0,false,0,0,0,3,2,4,2,4,"cresendohawk24 (4641)","Very fast intake and shooting system, very fast in general",,1711123283653
13,3,6171,red,true,false,false,"[]","[as]",0,false,0,0,0,1,0,1,1,0,"crescendohawk24  (4641)","Shaky when their shooter is up\n\nSlow with scoring \n\nCouldn't tell if they were dying to defend or being defended against \n\nIntake did not pick up anything",,1711123286736
14,3,6901,red,false,true,false,"[sm]","[sm]",1,false,0,0,0,1,0,2,0,2,"crescendohawk24 (4641)","",,1711123227085
15,3,4364,blue,false,false,false,"[]","[]",1,false,0,26950,69400,2,3,2,2,0,"crescendohawk24 (4641)","didnt move just shakes in auto, not bad defense\ncouldnt shoot or intake",,1711123239667
16,3,5788,blue,true,true,false,"[ss]","[ss, ss, ss, ss, ss, ss]",1,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","",,1711123226374
17,3,5894,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","Pushed forward by other robot during auto, but didn’t move for the rest of the round.",,1711123246925
18,4,148,red,true,true,true,"[sm, sm]","[]",2,false,0,0,0,4,4,4,2,1,"amoon (4641)","Note got stuck so they played defense the rest of the time ",,1711124047723
19,4,4717,red,false,false,false,"[]","[]",1,false,0,0,0,2,2,2,2,0,"crescendohawk24 (4641)","",,1711124010387
20,4,6526,red,false,false,false,"[ss]","[]",1,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","Note got stuck in its intake systems and just sat around the whole match",,1711124002664
21,4,8749,blue,false,false,false,"[]","[ss, as, as, ss]",2,false,0,12000,0,0,0,0,0,0,"crescendohawk24 (4641)","",,1711124032713
22,4,8816,blue,true,false,false,"[]","[]",0,false,0,58000,8950,1,1,2,2,0,"crescendohawk24 (4641)","didnt shoot and didnt intake at all",,1711124010474
23,4,8827,blue,true,false,false,"[]","[sm, ss, ss, ss, ss, ss, ss, ss]",1,false,0,0,0,2,0,3,0,4,"crescendohawk24 (4641)","Really, really good intake. Shooting did seem to be a little inconsistent, but didn’t prevent them scoring high.",,1711124053541
24,4,8827,blue,true,true,false,"[]","[sm, sm, ss, ss, ss, ss, ss, ss]",1,false,0,0,0,2,2,3,3,3,"crescendohawk24 (4641)","Slow to aim",,1711124116671
25,5,3676,red,true,true,false,"[]","[as, as, as, as]",2,false,0,0,0,3,1,3,2,3,"cresendohawk24 (4641)","",,1711124606527
26,5,4610,red,true,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"amoon (4641)","Carried about 4 notes to red side with hook at top that note got hooked on from the feeder slot person. Didn't pick up or shoot. ",,1711124655229
27,5,8019,red,true,true,false,"[ss]","[ss, sm, ss, sm, sa, ss, ss, ss]",1,false,0,0,0,3,2,2,2,3,"crescendohawk24 (4641)","",,1711124584876
28,5,5417,blue,true,false,false,"[]","[as, as, as, as, as, sm, sm, ss, as]",0,false,0,0,0,2,0,4,4,3,"crescendohawk24 (4641)","Very fast, and consistent at scoring amps. Struggled to score speakers.",,1711124643699
29,5,6357,blue,true,true,true,"[ss, ss, sm]","[ss, ss, ss, ss, sm, ss, sm, ss]",1,false,0,0,0,3,0,3,4,4,"crescendohawk24 (4641)","Very good team, they have the ability to climb",,1711124593226
30,5,8858,blue,false,true,false,"[]","[ss, sm, ss, sm, ss, sm, ss]",1,false,0,0,0,3,2,2,1,1,"crescendohawk24 (4641)","",,1711124582913
31,6,2583,red,true,false,true,"[sm]","[as, ss, as]",2,false,0,0,0,2,1,3,2,3,"cresendohawk24 (4641)","",,1711127085776
32,6,3282,red,false,false,false,"[]","[]",1,false,0,0,52800,2,2,2,2,0,"crescendohawk24 (4641)","",,1711127096183
33,6,9156,red,false,false,false,"[sm]","[]",1,false,0,0,0,1,0,1,2,1,"crescendohawk24  (4641)","Shooter looked like it wasn't fast enough to shoot\n\nVery slow\n\nCouldn't tell it it was staged but it very much attemoted it\n\nAnother bot hit it and the note fell out the the shooter getting stuck in the robot for the rest of match\n\n",,1711127179158
34,6,2714,blue,true,true,false,"[ss, ss]","[as, am, as, am, ss]",2,false,0,20100,0,3,0,2,4,2,"crescendohawk24 (4641)","Theyre passing \ncapable of 3 note auto\nIntake went bad at the end",,1711127075719
35,6,8625,blue,false,false,false,"[]","[]",1,false,0,0,0,0,0,2,4,3,"crescendohawk24 (4641)","Robot had really god intake but driver struggled to shoot any points.",,1711127152148
36,6,9034,blue,false,false,false,"[sm]","[sm, ss]",2,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","",,1711127054681
37,7,4639,red,true,true,false,"[sm, ss]","[ss, ss, ss, ss, ss, ss, sm, ss, ss, ss]",2,false,0,0,0,2,0,2,2,2,"crescendohawk24  (4641)","Quick with lining up and very accurate shooting\n\nOnly missed because note was picked up weirdly \n\n",,1711127554696
38,7,7119,red,false,false,false,"[ss]","[sm, sm, sm, sm]",1,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","Kept on missing its shots",,1711127528980
39,7,7321,red,true,false,false,"[sm]","[]",0,false,0,15550,51750,1,2,2,1,0,"crescendohawk24 (4641)","",,1711127534281
40,7,6672,blue,true,true,true,"[sm, sm]","[as, ss, sm, ss, as, as, ss, sm, ss, ss, ss, ss]",2,false,0,0,0,4,0,3,4,3,"crescendohawk24 (4641)","",,1711127536683
41,7,9418,blue,true,false,false,"[]","[sm, ss, ss, ss, ss]",3,false,0,0,0,3,0,3,3,4,"crescendohawk24 (4641)","Robot had really good intake, and only went for speakers. Also made harmony at the end of round.",,1711127576135
42,8,6901,red,false,false,false,"[sm]","[sm]",0,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","Did not have enough power to shoot and took somewhere around 15 seconds to angle a shot but then gave up ",,1711128144198
43,8,8598,red,true,true,false,"[sm, sm]","[]",1,false,0,0,0,1,0,2,2,2,"crescendohawk24  (4641)","Auto notes just shy of making it, probably not enough speed\n\nGot note stuck inside \n\n",,1711128106781
44,8,8769,red,true,true,false,"[sm, sm]","[]",0,false,33300,800,0,2,1,2,1,0,"crescendohawk24 (4641)","",,1711128095036
45,8,4364,blue,false,false,false,"[]","[]",1,false,0,75000,6000,1,0,1,3,0,"crescendohawk24 (4641)","",,1711128097883
46,8,5212,blue,false,false,false,"[]","[]",1,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","",,1711130787523
47,8,8732,blue,true,true,false,"[sm, sm, ss]","[ss, ss, ss, ss, ss, ss, ss]",0,false,0,0,0,3,0,3,4,4,"crescendohawk24 (4641)","Very fast intake, and driver was able to consistently score speaker shots, with a few adjustments.",,1711128179624
48,9,4597,red,false,false,false,"[]","[sm]",1,false,0,114400,0,2,2,2,1,1,"crescendohawk24 (4641)","",,1711131106149
49,9,4641,red,false,true,false,"[ss, ss, ss, ss]","[ss, sm, ss, ss, ss, ss]",2,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","",,1711131083158
50,9,7091,red,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24  (4641)","Wasn't on the field ",,1711131093803
51,9,1296,blue,false,true,false,"[ss, ss]","[as, as, as, as, sa]",2,false,0,0,0,0,0,0,0,0,"crescendohawks24 (4641)","Passed to teammates ",,1711131103970
52,9,1296,blue,true,true,false,"[ss, ss]","[tm, as, as, ss, as, as, ss, sm, ss]",0,false,0,0,0,4,0,2,3,3,"crescendohawk24 (4641)","They are a very good team\n",,1711131136141
53,9,4717,blue,false,false,false,"[]","[ss, sm]",1,false,4000,11950,11850,0,0,1,0,0,"crescendohawk24 (4641)","horrible intake and cant shoot well",,1711131097460
54,9,6171,blue,false,false,false,"[]","[]",0,false,0,0,0,0,0,0,0,0,"crescendohawk24 (4641)","Robot wasn’t on field when round started. :(",,1711130986877
55,10,4332,red,false,false,false,"[]","[ss]",1,false,0,1000,2000,0,0,0,0,0,"cresendohawk24 (4641)","Played defense after tele started and got ram into the amp multiple times",,1711131600733
56,10,4610,red,true,false,false,"[]","[ss]",1,false,0,750,70900,3,3,2,2,1,"crescendohawk24 (4641)","",,1711131568813
57,10,8749,red,false,false,false,"[ss]","[as, ss, as, sa, as, ss, sm]",1,false,0,0,0,2,0,2,1,2,"crescendohawk24  (4641)","",,1711131564620
58,10,7506,blue,false,false,false,"[]","[as, ss, as, ss]",1,false,0,0,0,2,0,2,4,3,"crescendohawk24 (4641)","Driver seemed to have a hard time lining up shots. ",,1711131598509
59,10,8827,blue,false,true,false,"[]","[sm]",1,false,0,0,60300,2,2,2,2,1,"crescendohawk24 (4641)","Bad shooting capabilities. It stops to shoot but take like 10 seconds to do so and then just misses.",,1711131603206
60,11,6357,red,false,true,false,"[sm, ss, sm]","[sm, sm, ss, ss, sm, sm]",1,false,0,0,0,0,0,0,0,0,"cresendohawk24 (4641)","It’s 4 note auto seems to be off, and it speedy but seems to have some terrible aim",,1711132160267
